AZUAY;139;88;67;725;49;7;179;4;23;30
BOLIVAR;6;9;8;150;3;0;6;4;5;2
CANAR;26;12;22;132;8;4;7;0;3;4
CARCHI;29;3;40;41;8;3;5;1;1;0
COTOPAXI;67;16;2;276;26;8;19;1;2;10
CHIMBORAZO;38;18;0;597;26;3;50;3;1;7
EL ORO;53;35;47;607;12;7;49;4;2;12
ESMERALDAS;22;14;30;183;11;4;7;1;8;13
GUAYAS;391;706;1.783;3.391;129;23;1.378;1;23;74
IMBABURA;28;17;77;977;37;7;371;1;9;12
LOJA;137;39;119;108;27;25;70;8;7;20
LOS RIOS;18;56;47;807;29;5;50;5;2;17
MANABI;51;47;114;514;23;17;215;10;36;35
MORONA SANTIAGO;19;10;16;80;13;2;7;6;2;1
NAPO;12;6;22;55;7;2;3;3;4;1
PASTAZA;12;2;4;32;1;0;7;7;2;1
PICHINCHA;722;1.051;1.181;5.648;589;48;1.222;67;52;197
TUNGURAHUA;327;59;128;434;109;50;241;24;43;24
ZAMORA CHINCHIPE;19;3;6;46;5;1;5;6;2;8
GALAPAGOS;2;0;0;1;0;0;0;0;0;1
SUCUMBIOS;4;2;9;46;3;1;3;0;3;1
ORELLANA;6;2;0;29;2;0;1;2;1;1
SANTO DOMINGO DE LOS TSACHILAS;32;51;30;544;35;10;40;16;8;26
SANTA ELENA;4;22;3;286;21;2;119;0;2;5
